horse,distance,es_finishtime,first,firstthree,act_first,act_fthree
AMAZING SATCHMO (A363),1400,16.31511479,1,1,0,0
BIG FORTUNE (B220),1400,16.93145586,0,0,0,1
SPEEDY LUCK (C144),1400,16.91571456,0,0,0,0
THE ONE (B073),1400,16.88375908,0,0,0,0
EZRA (C056),1400,17.01638276,0,0,1,1
CITY LEGEND (A086),1400,16.890409,0,0,0,0
DANEHILL JADE (C020),1400,16.94197374,0,0,0,0
DESTIN (V417),1400,16.9055851,0,0,0,1
OLD HAVANA (C155),1400,16.69051025,0,1,0,0
ALL BEST FRIENDS (A217),1400,17.03138704,0,0,0,0
WHAT A LEGEND (C004),1400,17.03138704,0,0,0,0
GALA NIGHT (C331),1400,17.2474421,0,0,0,0
CALLING THE SHOTS (B239),1400,16.83697362,0,1,0,0
TOUCHDOWN STRIKER (B346),1400,16.94041301,0,0,0,0
