horse,distance,es_finishtime,first,firstthree,act_first,act_fthree
ANONYMA (C496),1200,17.08987194,0,0,0,0
MR CROISSANT (C234),1200,17.2830509,0,0,1,1
STAR OF YUEN LONG (C303),1200,17.40391588,0,0,0,0
MR ALDAN (C323),1200,17.03479289,0,0,0,0
NAMJONG SINGS (C480),1200,17.07366387,0,0,0,0
NEW ASIA SUNRISE (T268),1200,17.27634947,0,0,0,1
HAPPY LIFELINE (C447),1200,17.02955845,0,1,0,0
HAPPY VICTORY (B195),1200,19.31207343,0,0,0,0
MONKEY JEWELLERY (B378),1200,17.21613464,0,0,0,0
CRUCIATUS (C206),1200,16.49373992,0,1,0,0
GALLANT RETURN (A308),1200,17.11060871,0,0,0,0
JUMBO PRIZE (C283),1200,17.11229393,0,0,0,1
LITTLE WISE MAN (C217),1200,17.13332755,0,0,0,0
GREAT SMART (C319),1200,16.44865043,1,1,0,0
