horse,distance,es_finishtime,first,firstthree,act_first,act_fthree
CHEFANO (C297),1800,109.3175,0,0,0,0
CHARITY GO (B478),1800,108.62,0,0,0,0
SICHUAN DAR (T375),1800,109.6,0,0,0,1
SPLENDOUR AND GOLD (C029),1800,108.22,0,1,0,0
JADE FORTUNE (V020),1800,110.3225,0,0,0,0
PARTY TOGETHER (C210),1800,110.8,0,0,0,0
VIGOR FAME (B260),1800,109.2217,0,0,0,0
HAPPY SEBRING (B189),1800,109.3467,0,0,1,1
MARZOUQ (B094),1800,108.8925,0,0,0,0
SUPER ELEGANCE (C183),1800,108.085,1,1,0,0
I DO (C038),1800,109.54,0,0,0,1
MERRYGOWIN (V396),1800,111.3248,0,0,0,0
DRAGON COMMANDER (C208),1800,109.61,0,0,0,0
JOLLY HONOUR (C080),1800,108.35,0,1,0,0
