horse,distance,es_finishtime,first,firstthree,act_first,act_fthree
SMART PATCH (B398),1600,16.46501847,0,0,1,1
FULL POWER (C426),1600,16.55457838,0,0,0,0
WITNESS HUNTER (B421),1600,16.54132001,0,0,0,0
ELECTRIC LIGHTNING (A189),1600,16.68226009,0,0,0,0
ROYAL RACER (B460),1600,16.42881776,0,1,0,0
CHIU CHOW KID (T412),1600,16.6180002,0,0,0,0
SPARKLING KNIGHT (C201),1600,16.71547411,0,0,0,0
CALIFORNIA LEGEND (B363),1600,16.5411762,0,0,0,1
DASHING DART (V038),1600,16.51424137,0,0,0,0
HAY RUN (V337),1600,16.57491925,0,0,0,0
THE FULL BLOOM (V243),1600,16.64590031,0,0,0,0
BUNDLE OF ENERGY (B279),1600,16.38901221,0,1,0,0
SAVANNAH WIND (A307),1600,16.13367891,1,1,0,0
SAVVY SEVEN (B314),1600,16.57279801,0,0,0,1
