horse,distance,es_finishtime,first,firstthree,act_first,act_fthree
MOMENTUM HAPPY (C423),1200,69.76,0,1,0,0
THE CREATETH (A336),1200,70.5806,0,0,0,0
CLUB SPIRIT (C315),1200,69.648,0,1,0,0
PRESIDENT STAR (C170),1200,70.72,0,0,0,0
SOCKET ELITE (C362),1200,70.71,0,0,0,0
SUPER WINNER (C341),1200,70.3,0,0,0,0
TURF BRILLIANT (C456),1200,71.325,0,0,0,0
WOOD ON FIRE (C460),1200,70.0367,0,0,0,1
QUADRUPLE DOUBLE (B250),1200,70.5278,0,0,1,1
LITTLE THUNDER (C453),1200,70.722,0,0,0,1
U W BROTHER (C389),1200,71.325,0,0,0,0
FOODIE PRINCESS (C312),1200,70.03666667,0,0,0,0
FLYING GODSPELL (V376),1200,66.86695652,1,1,0,0
BLOOMING SPIRIT (C064),1200,70.722,0,0,0,0
