horse,distance,es_finishtime,first,firstthree,act_first,act_fthree
BEAUTY GENERATION (V380),1400,17.26793995,0,0,1,1
SOUTHERN LEGEND (A252),1400,17.18219829,0,0,0,0
CITRON SPIRIT (T286),1400,17.11824263,0,0,0,0
FURORE (C079),1400,16.84569298,1,1,0,0
KA YING STAR (C198),1400,16.93468671,0,1,0,1
NOTHINGILIKEMORE (V388),1400,17.12289805,0,0,0,0
WAIKUKU (C150),1400,17.05203335,0,0,0,1
WINNER'S WAY (A025),1400,17.13138497,0,0,0,0
DOCTOR GEOFF (A409),1400,17.04150648,0,1,0,0
DRAGON GENERAL (T400),1400,17.04224721,0,0,0,0
